altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1470.0,2018/2018,Manual,51900.0,Hatch,Flex,3920.0,12.5,Preto,Elétrica,2500.0,58.036,1680.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/hyundai/hb20/2018/1-0-comfort-flex/detalhes/10898761?page=detail&sort=0,158.0
1508.0,2021/2022,Manual,71900.0,Sedan,Flex,4364.0,,Branco,Elétrica,2521.0,59.0,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/fiat/cronos/2022/1-3/detalhes/9271000?page=detail&sort=0,183.0
1694.0,2020/2021,Manual,81000.0,Picapes,Flex,4700.0,11.1,Branco,Suspensão,2829.0,39.912,1821.0,Renault,1.6,Renault Duster Oroch,5.0,1292.0,,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/renault/duster-oroch/2021/1-6-16v-sce-express-flex/detalhes/11491492?page=detail&sort=0,161.0
1693.0,2020/2021,Manual,78000.0,SUV,Flex,4269.0,11.6,Preto,Elétrica,2521.0,51.117,1765.0,Ford,1.5,Ford EcoSport,5.0,1227.0,362.0,52.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/ford/ecosport/2021/se-1-5-flex/detalhes/9004336?page=detail&sort=0,
1472.0,2019/2020,Automática,73900.0,Sedan,Flex,4482.0,11.9,Cinza,Suspensão,2651.0,73.0,1751.0,Volkswagen,1.6,Volkswagen Virtus,5.0,1139.0,521.0,52.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/volkswagen/virtus/2020/1-6-msi-16v-flex/detalhes/11540038?page=detail&sort=0,189.0
1687.0,2019/2019,Manual,87000.0,Monovolume,Flex,4416.0,11.4,Azul,Suspensão,2620.0,87.0,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1255.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/chevrolet/spin/2019/1-8-econoflex-ltz-7s/detalhes/10609899?page=detail&sort=0,
1470.0,2022/2022,Automática,85500.0,Hatch,Flex,3940.0,12.2,Prata,Elétrica,2530.0,30.0,1720.0,Hyundai,1.0,Hyundai HB20,5.0,1091.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/hyundai/hb20/2022/platinum-bluelink-1-0-turbo-flex-aut/detalhes/11310345?page=detail&sort=0,
1670.0,2019/2020,Automática,90990.0,SUV,Flex,4505.0,9.7,Preto,Suspensão,2670.0,35.0,1837.0,CAOA Chery,1.5,CAOA Chery Tiggo 7,5.0,1440.0,414.0,57.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/caoa-chery/tiggo-7/2020/1-5-txs-turbo-flex-aut/detalhes/11630306?page=detail&sort=0,
1485.0,2018/2018,Automática,102500.0,Sedan,Flex,4620.0,10.6,Prata,Suspensão,2700.0,63.0,1775.0,Toyota,2.0,Toyota Corolla,5.0,1335.0,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/toyota/corolla/2018/2-0-xei-multi-drive-s-flex/detalhes/4998373?page=detail&sort=0,
1470.0,2015/2015,Manual,44990.0,Sedan,Flex,4230.0,,Branco,Suspensão,2500.0,135.0,1680.0,Hyundai,1.0,Hyundai HB20S,5.0,1014.0,450.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/hyundai/hb20s/2015/1-0-comfort-plus-flex/detalhes/10763973?page=detail&sort=0,157.0
,2018/2018,Automática,149990.0,Picapes,Diesel,,,Vermelho,Suspensão,,126.0,,Mitsubishi,,Mitsubishi L200 Triton Sport,,,,,https://www.mobiauto.com.br/comprar/carros/se-aracaju/mitsubishi/l200-triton-sport/2018/sport-2-4-did-h-hpe-s-top-4wd-aut/detalhes/10904281?page=detail&sort=0,
1873.0,2014/2014,Manual,46000.0,Furgão & Van,Flex,4183.0,,Branco,Suspensão,2576.0,5.0,1622.0,Fiat,1.4,Fiat Fiorino,2.0,1015.0,,64.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/fiat/fiorino/2014/furgao-1-4-evo-flex/detalhes/11509600?page=detail&sort=0,144.0
1481.0,2016/2016,Automática,83500.0,SW & Perua,Gasolina,4562.0,,Branco,Suspensão,2635.0,94.0,1799.0,Volkswagen,1.4,Volkswagen Golf Variant,5.0,1368.0,605.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/volkswagen/golf-variant/2016/comfortline-1-4-tsi-dsg-bluem/detalhes/11074130?page=detail&sort=0,
,2023/2023,Manual,89990.0,,Gasolina,,,Branco,Suspensão,,0.0,,Effa,,Effa V25,,,,,https://www.mobiauto.com.br/comprar/carros/se-aracaju/effa/v25/2023/1-3-16v/detalhes/9174064?page=detail&sort=0,
1619.0,2022/2022,CVT,99990.0,,Flex,4379.0,11.1,Bege,Elétrica,2673.0,44.5,1813.0,Renault,1.3,Renault Captur,5.0,1366.0,437.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/renault/captur/2022/zen-1-3-tb-16v-flex-5p-aut/detalhes/11510876?page=detail&sort=0,12.0
1590.0,2018/2018,Manual,69000.0,SUV,Flex,4295.0,,Prata,Suspensão,2610.0,58.0,1760.0,Nissan,1.6,Nissan Kicks,5.0,,,,https://www.mobiauto.com.br/comprar/carros/se-aracaju/nissan/kicks/2018/1-6-s-flex/detalhes/10958463?page=detail&sort=0,
1484.0,2019/2019,Automática,91800.0,Sedan,Flex,4665.0,11.5,Vermelho,Suspensão,2700.0,90.013,1807.0,Chevrolet,1.4,Chevrolet Cruze,5.0,1321.0,440.0,52.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/chevrolet/cruze/2019/lt-1-4-16v-turbo-flex-aut-flex/detalhes/10916155?page=detail&sort=0,
1508.0,2021/2022,Manual,68900.0,Sedan,Flex,4364.0,,Branco,Elétrica,2521.0,43.329,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/fiat/cronos/2022/1-3/detalhes/9626213?page=detail&sort=0,183.0
1821.0,2017/2017,Automática,128000.0,Picapes,Diesel,5354.0,,Preto,Suspensão,3220.0,96.0,1860.0,Ford,2.2,Ford Ranger Cabine Dupla,6.0,2096.0,,80.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/ford/ranger-cabine-dupla/2017/ranger-2-2-td-xls-cd-4x4-aut/detalhes/11020000?page=detail&sort=0,
1478.0,2017/2017,Automática,62900.0,Sedan,Flex,4282.0,9.9,Prata,Suspensão,2528.0,114.48,1705.0,Chevrolet,1.4,Chevrolet Prisma,5.0,1085.0,500.0,54.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/chevrolet/prisma/2017/1-4-ltz-spe-4-aut/detalhes/11055354?page=detail&sort=0,
1536.0,2019/2019,Manual,42900.0,Hatch,Flex,4060.0,14.2,Branco,Suspensão,2590.0,130.0,1733.0,Renault,1.0,Renault Sandero,5.0,1011.0,320.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/renault/sandero/2019/authentique-1-0-12v-sce-flex/detalhes/11066252?page=detail&sort=0,160.0
1476.0,2023/2023,Manual,85900.0,Hatch,Flex,4163.0,,Cinza,Elétrica,2551.0,17.3,1730.0,Chevrolet,1.0,Chevrolet Onix,5.0,1049.0,275.0,44.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/chevrolet/onix/2023/ltz-1-0-turbo/detalhes/10974423?page=detail&sort=0,187.0
1525.0,2019/2019,Automática,62900.0,Sedan,Flex,4275.0,,Branco,Suspensão,2490.0,60.0,1774.0,Ford,1.5,Ford Ka Sedan,5.0,1115.0,445.0,51.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/ford/ka-sedan/2019/se-1-5-12v-aut-flex/detalhes/9793303?page=detail&sort=0,11.0
1474.0,2020/2020,Manual,50000.0,Hatch,Flex,3892.0,13.3,Branco,Suspensão,2467.0,54.87,1893.0,Volkswagen,1.0,Volkswagen Gol,5.0,976.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/volkswagen/gol/2020/1-0-12v-flex/detalhes/11152632?page=detail&sort=0,168.0
1470.0,2022/2022,Manual,65500.0,Hatch,Flex,3940.0,13.1,Preto,Elétrica,2530.0,85.443,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/hyundai/hb20/2022/vision-1-0/detalhes/10635716?page=detail&sort=0,161.0
1411.0,2014/2014,Manual,29000.0,Hatch,Flex,3931.0,,Prata,Suspensão,2470.0,164.0,1645.0,Volkswagen,1.0,Volkswagen Gol,5.0,856.0,285.0,51.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/volkswagen/gol/2014/1-0-mi-total-flex-8v-2p/detalhes/11152528?page=detail&sort=0,166.0
1658.0,2021/2021,Automática,295000.0,SUV,Híbrido,4688.0,,Preto,Suspensão,2865.0,19.0,1902.0,Volvo,2.0,Volvo XC60,5.0,1904.0,505.0,71.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/volvo/xc60/2021/inscription-t8-2-0-hybrid-awd-aut/detalhes/11171001?page=detail&sort=0,
1508.0,2015/2015,Automática,42900.0,Hatch,Flex,3875.0,,Amarelo,Suspensão,2420.0,91.0,1704.0,Fiat,1.6,Fiat Palio,5.0,1090.0,280.0,48.0,https://www.mobiauto.com.br/comprar/carros/se-aracaju/fiat/palio/2015/sporting-1-6-16v-flex/detalhes/11219995?page=detail&sort=0,191.0
