altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1525.0,2017/2018,Manual,46900.0,Hatch,Flex,3886.0,11.7,Branco,Suspensão,2491.0,89.106,1695.0,Ford,1.5,Ford Ka,5.0,1018.0,257.0,52.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/ford/ka/2018/1-5-se-16v-flex/detalhes/9267946?page=detail&sort=0,
1475.0,2015/2016,Automática,85900.0,Sedan,Flex,4620.0,10.6,Prata,Suspensão,2700.0,85.66,1775.0,Toyota,2.0,Toyota Corolla,5.0,,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/toyota/corolla/2016/2-0-xei-multi-drive-s-flex/detalhes/11615272?page=detail&sort=0,
1408.0,2011/2011,Manual,29990.0,Hatch,Flex,3788.0,,Verde,Suspensão,2443.0,89.0,1626.0,Chevrolet,1.0,Chevrolet Celta,5.0,890.0,260.0,54.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/chevrolet/celta/2011/spirit-1-0-vhce-flex-4p/detalhes/10874433?page=detail&sort=0,156.0
1487.0,2013/2013,Manual,29900.0,Hatch,Flex,3935.0,,Prata,Suspensão,2488.0,110.49,1765.0,Ford,1.6,Ford Fiesta Hatch,5.0,1084.0,270.0,54.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/ford/fiesta-hatch/2013/se-rocam-1-6-flex/detalhes/5273686?page=detail&sort=0,165.0
1470.0,2021/2022,Manual,66900.0,Hatch,Flex,3940.0,13.1,Branco,Elétrica,2530.0,36.0,1720.0,Hyundai,1.0,Hyundai HB20,5.0,989.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/hyundai/hb20/2022/vision-1-0/detalhes/9186116?page=detail&sort=0,161.0
1536.0,2018/2019,Manual,56990.0,Hatch,Flex,4060.0,14.2,Branco,Suspensão,2590.0,48.0,1733.0,Renault,1.0,Renault Sandero,5.0,1011.0,320.0,50.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/renault/sandero/2019/gt-line-1-0-12v-flex/detalhes/9367260?page=detail&sort=0,160.0
1521.0,2020/2020,Manual,62900.0,Picapes,Flex,4474.0,10.8,Branco,Suspensão,2752.0,71.0,1713.0,Volkswagen,1.6,Volkswagen Saveiro,5.0,1073.0,,55.0,https://www.mobiauto.com.br/comprar/carros/ce-maracanau/volkswagen/saveiro/2020/robust-1-6-msi-cs-flex/detalhes/10979916?page=detail&sort=0,169.0
1525.0,2019/2019,Manual,47900.0,Hatch,Flex,3941.0,13.4,Preto,Suspensão,2490.0,58.0,1774.0,Ford,1.0,Ford Ka,5.0,1037.0,257.0,51.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/ford/ka/2019/1-0-se-flex/detalhes/11547037?page=detail&sort=0,
1464.0,2022/2023,Manual,59990.0,Sedan,Flex,4213.0,13.4,Prata,Hidráulica,2467.0,45.338,1656.0,Volkswagen,1.0,Volkswagen Voyage,5.0,1015.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/volkswagen/voyage/2023/1-0-mpi-flex/detalhes/9791511?page=detail&sort=0,162.0
1626.0,2022/2023,Automática,124590.0,SUV,Flex,4270.0,,Branco,Elétrica,2570.0,46.55,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/ce-fortaleza/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/9786931?page=detail&sort=0,185.0
