altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1487.0,2012/2012,Manual,28900.0,Hatch,Flex,3935.0,,Vermelho,Suspensão,2488.0,90.0,1765.0,Ford,1.6,Ford Fiesta Hatch,5.0,1084.0,305.0,54.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/ford/fiesta-hatch/2012/1-6-flex/detalhes/11075681?page=detail&sort=0,165.0
,2016/2016,Manual,55900.0,Sedan,Flex,,,Prata,Suspensão,,0.0,,Chevrolet,,Chevrolet Cobalt,5.0,,,,https://www.mobiauto.com.br/comprar/carros/pb-santa-rita/chevrolet/cobalt/2016/ltz-1-8-8v-flex/detalhes/6495263?page=detail&sort=0,
1536.0,2019/2019,CVT,75800.0,Monovolume,Flex,4096.0,12.3,Branco,Suspensão,2530.0,80.0,1694.0,Honda,1.5,Honda Fit,5.0,1073.0,363.0,46.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/honda/fit/2019/1-5-16v-personal-cvt-flex/detalhes/10661121?page=detail&sort=0,
1453.0,2022/2023,Automática,73990.0,Hatch,Flex,4055.0,10.9,Preto,Elétrica,2538.0,43.726,1738.0,Peugeot,1.6,Peugeot 208,5.0,1227.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/peugeot/208/2023/active-1-6-flex-aut/detalhes/9773073?page=detail&sort=0,
1702.0,2022/2023,Automática,122790.0,SUV,Flex,4268.0,,Prata,Elétrica,2570.0,35.494,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9693244?page=detail&sort=0,208.0
1457.0,2012/2012,Manual,41990.0,Hatch,Flex,4204.0,,Preto,Suspensão,2515.0,161.0,1735.0,Volkswagen,1.6,Volkswagen Golf,5.0,1173.0,330.0,55.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/volkswagen/golf/2012/sportline-1-6-flex/detalhes/11165864?page=detail&sort=0,
,2021/2021,Manual,74990.0,Picapes,Flex,,,Prata,Hidráulica,,42.268,,Fiat,,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/fiat/strada/2021/endurance-1-4-cs-flex/detalhes/9659084?page=detail&sort=0,
1475.0,2017/2017,Automática,82900.0,Sedan,Flex,4620.0,11.4,Branco,Suspensão,2700.0,89.0,1775.0,Toyota,1.8,Toyota Corolla,5.0,1280.0,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/toyota/corolla/2017/1-8-dual-vvt-gli-multi-drive-flex/detalhes/10849385?page=detail&sort=0,
1484.0,2018/2018,Automática,94900.0,Sedan,Flex,4665.0,11.2,Vermelho,Suspensão,2700.0,59.2,1807.0,Chevrolet,1.4,Chevrolet Cruze,5.0,1321.0,440.0,52.0,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/chevrolet/cruze/2018/ltz-1-4-16v-ecotec-aut-flex/detalhes/11063954?page=detail&sort=0,
,2013/2014,Automática,99900.0,Picapes,Diesel,0.0,,Prata,Suspensão,,123.029,,Volkswagen,,Volkswagen Amarok,,,,,https://www.mobiauto.com.br/comprar/carros/pb-joao-pessoa/volkswagen/amarok/2014/highline-2-0-cd-4x4-tdi-aut/detalhes/11087448?page=detail&sort=0,
