altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1700.0,2022/2023,Automática,238990.0,SUV,Diesel,4769.0,,Azul,Elétrica,2794.0,24.0,1859.0,Jeep,2.0,Jeep Commander,7.0,1908.0,661.0,61.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/jeep/commander/2023/overland-2-0-td380/detalhes/10727773?page=detail&sort=0,
1470.0,2022/2023,Automática,93190.0,Hatch,Flex,4015.0,11.7,Cinza,Elétrica,2530.0,40.138,1720.0,Hyundai,1.0,Hyundai HB20,5.0,1110.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/hyundai/hb20/2023/comfort-1-0-turbo-at-flex/detalhes/9329305?page=detail&sort=0,190.0
1568.0,2022/2023,Automática,111990.0,SUV,Flex,4199.0,,Branco,Elétrica,2651.0,41.03,1760.0,Volkswagen,200.0,Volkswagen T-Cross,5.0,1250.0,373.0,52.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/volkswagen/t-cross/2023/1-0-200-tsi-comfortline-aut-flex/detalhes/11627731?page=detail&sort=0,179.0
1476.0,2022/2023,Automática,102690.0,Hatch,Flex,4163.0,,Azul,Elétrica,2551.0,8.47,1730.0,Chevrolet,1.0,Chevrolet Onix,5.0,1049.0,275.0,44.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/onix/2023/ltz-1-0-turbo/detalhes/11591242?page=detail&sort=0,187.0
1475.0,2013/2014,Automática,37990.0,Sedan,Flex,4406.0,11.4,Branco,Suspensão,2489.0,132.548,1697.0,Ford,1.6,Ford New Fiesta Sedan,5.0,1226.0,465.0,51.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/ford/new-fiesta-sedan/2014/1-6-se-powershift-flex/detalhes/11327200?page=detail&sort=0,
1470.0,2022/2023,Manual,70190.0,Hatch,Flex,4015.0,13.4,Prata,Elétrica,2530.0,43.533,1720.0,Hyundai,1.0,Hyundai HB20,5.0,993.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/hyundai/hb20/2023/comfort-1-0-flex/detalhes/9764530?page=detail&sort=0,158.0
1696.0,2020/2021,Automática,87090.0,SUV,Flex,4232.0,,Branco,Hidráulica,2570.0,87.294,1798.0,Jeep,1.8,Jeep Renegade,5.0,1465.0,320.0,60.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/jeep/renegade/2021/longitude-1-8-4x2-aut-flex/detalhes/9680802?page=detail&sort=0,180.0
1472.0,2021/2022,Automática,77290.0,Hatch,Flex,3975.0,15.1,Azul,Elétrica,2541.0,36.783,1702.0,Peugeot,1.6,Peugeot 208,5.0,1073.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/peugeot/208/2022/allure-1-6-flex-aut/detalhes/9670590?page=detail&sort=0,171.0
1583.0,2021/2022,Automática,74590.0,SUV,Flex,4170.0,10.5,Prata,Elétrica,2537.0,36.712,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1215.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/peugeot/2008/2022/allure-pack-1-6/detalhes/9482888?page=detail&sort=0,186.0
1684.0,2022/2023,Automática,104090.0,Monovolume,Flex,4360.0,,Branco,Elétrica,2620.0,43.177,1735.0,Chevrolet,1.8,Chevrolet Spin,7.0,1235.0,162.0,53.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/spin/2023/premier-1-8-aut/detalhes/9390481?page=detail&sort=0,168.0
1781.0,2022/2023,Automática,202990.0,Picapes,Diesel,5361.0,,Preto,Elétrica,3096.0,66.999,1874.0,Chevrolet,2.8,Chevrolet S10 Cabine Dupla,5.0,2016.0,1061.0,76.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/s10-cabine-dupla/2023/lt-2-8-turbodiesel-aut/detalhes/9258836?page=detail&sort=0,
,2014/2014,Automática,50000.0,Sedan,Flex,,,Preto,Suspensão,,62.0,,Hyundai,,Hyundai HB20S,5.0,1057.0,,,https://www.mobiauto.com.br/comprar/carros/al-maceio/hyundai/hb20s/2014/1-6-comfort-plus-flex/detalhes/5284900?page=detail&sort=0,184.0
1470.0,2014/2014,CVT,41000.0,Sedan,Flex,4620.0,,Branco,Suspensão,2700.0,164.0,1810.0,Renault,2.0,Renault Fluence,5.0,1369.0,530.0,60.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/renault/fluence/2014/2-0-16v-dynamique-x-tronic-aut-flex/detalhes/11002144?page=detail&sort=0,195.0
1626.0,2022/2023,Automática,119990.0,SUV,Flex,4270.0,,Branco,Elétrica,2570.0,49.184,1791.0,Chevrolet,1.2,Chevrolet Tracker,5.0,1271.0,393.0,44.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/chevrolet/tracker/2023/premier-1-2-turbo-aut/detalhes/11629322?page=detail&sort=0,185.0
1503.0,2021/2022,Manual,58390.0,Hatch,Flex,3998.0,,Preto,Elétrica,2521.0,83.722,1724.0,Fiat,1.0,Fiat Argo,5.0,1105.0,300.0,48.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/fiat/argo/2022/drive-1-0-flex/detalhes/9736527?page=detail&sort=0,157.0
1583.0,2022/2022,Automática,75190.0,SUV,Diesel,4170.0,10.5,Branco,Elétrica,2537.0,40.554,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1215.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/peugeot/2008/2022/allure-pack-1-6/detalhes/9473818?page=detail&sort=0,186.0
1506.0,2013/2014,Manual,25990.0,Sedan,Flex,4290.0,,Branco,Suspensão,2511.0,105.0,1700.0,Fiat,1.4,Fiat Grand Siena,5.0,1149.0,520.0,48.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/fiat/grand-siena/2014/tetrafuel-1-4-8v/detalhes/11454804?page=detail&sort=0,165.0
1525.0,2019/2020,Manual,58000.0,Hatch,Flex,3941.0,,Branco,Suspensão,2490.0,59.0,1774.0,Ford,1.5,Ford Ka,5.0,1108.0,257.0,51.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/ford/ka/2020/1-5-se-aut-flex/detalhes/10923015?page=detail&sort=0,11.0
1534.0,2022/2023,Automática,93790.0,SUV,Flex,4170.0,10.4,Vermelho,Elétrica,2600.0,42.381,1714.0,Citroën,1.6,Citroën C4 Cactus,5.0,1204.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/al-maceio/citroen/c4-cactus/2023/1-6-feel-pack-aut-flex/detalhes/11629301?page=detail&sort=0,13.0
