altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1702.0,2022/2023,Automática,122290.0,SUV,Flex,4268.0,,Prata,Elétrica,2570.0,38.92,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/9782950?page=detail&sort=0,208.0
1562.0,2020/2021,Manual,68990.0,Picapes,Flex,4474.0,10.8,Branco,Hidráulica,2753.0,46.0,1713.0,Volkswagen,1.6,Volkswagen Saveiro,5.0,1028.0,924.0,55.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/volkswagen/saveiro/2021/robust-1-6-msi-cs-flex/detalhes/8437050?page=detail&sort=0,174.0
1900.0,2021/2021,Manual,83890.0,Furgão & Van,Flex,4384.0,10.6,Branco,Não,2717.0,22.49,1643.0,Fiat,1.4,Fiat Fiorino,2.0,1118.0,3100.0,58.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/fiat/fiorino/2021/endurance-1-4/detalhes/11617303?page=detail&sort=0,158.0
1514.0,2019/2019,Manual,64900.0,Sedan,Flex,4479.0,,Branco,Suspensão,2620.0,140.0,1735.0,Chevrolet,1.8,Chevrolet Cobalt,5.0,1112.0,563.0,54.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/chevrolet/cobalt/2019/ltz-1-8-8v-flex/detalhes/11204248?page=detail&sort=0,
1638.0,2020/2020,Automática,114000.0,SUV,Flex,4416.0,8.8,Branco,Suspensão,2636.0,43.683,1819.0,Jeep,2.0,Jeep Compass,5.0,1546.0,410.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/jeep/compass/2020/2-0-longitude-4x2-aut-flex/detalhes/9689756?page=detail&sort=0,188.0
1470.0,2019/2019,Manual,58000.0,Hatch,Flex,3920.0,12.5,Branco,Elétrica,2500.0,81.626,1680.0,Hyundai,1.0,Hyundai HB20,5.0,990.0,300.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/hyundai/hb20/2019/1-0-comfort-plus-flex/detalhes/9368339?page=detail&sort=0,158.0
1500.0,2016/2016,Manual,55900.0,Hatch,Flex,3605.0,13.2,Branco,Suspensão,2421.0,76.146,1645.0,Volkswagen,1.0,Volkswagen Up!,5.0,958.0,285.0,50.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/volkswagen/up/2016/1-0-12v-e-flex-high-up/detalhes/9164907?page=detail&sort=0,163.0
1480.0,2014/2014,Manual,0.0,Hatch,Flex,3770.0,12.3,Branco,Suspensão,2376.0,1.0,1636.0,Fiat,1.0,Fiat Uno,5.0,895.0,290.0,48.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/fiat/uno/2014/vivace-1-0-8v-flex-4p/detalhes/7409252?page=detail&sort=0,151.0
1795.0,2021/2022,Automática,199900.0,Picapes,Diesel,5280.0,,Branco,Hidráulica,3000.0,50.08,1820.0,Mitsubishi,2.4,Mitsubishi L200 Triton Outdoor,5.0,1895.0,1046.0,76.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/mitsubishi/l200-triton-outdoor/2022/savana-2-4-turbo-4x4-aut/detalhes/9313696?page=detail&sort=0,
1638.0,2017/2018,Automática,91900.0,SUV,Flex,4416.0,8.1,Preto,Suspensão,2636.0,69.765,1819.0,Jeep,2.0,Jeep Compass,5.0,1541.0,410.0,60.0,https://www.mobiauto.com.br/comprar/carros/rn-natal/jeep/compass/2018/2-0-longitude-4x2-aut-flex/detalhes/9270082?page=detail&sort=0,188.0
