altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1583.0,2021/2022,Automática,70190.0,SUV,Flex,4170.0,10.5,Preto,Elétrica,2537.0,38.169,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1215.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/peugeot/2008/2022/allure-essencial-1-6/detalhes/9686719?page=detail&sort=0,185.0
1503.0,2020/2021,Manual,65990.0,Hatch,Flex,3998.0,,Prata,Elétrica,2521.0,32.871,1724.0,Fiat,1.0,Fiat Argo,5.0,1105.0,300.0,48.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/fiat/argo/2021/drive-1-0-flex/detalhes/7187213?page=detail&sort=0,157.0
1625.0,2022/2022,Automática Sequencial,180070.0,SUV,Gasolina,4447.0,,Prata,Suspensão,2675.0,57.44,1906.0,Peugeot,1.6,Peugeot 3008,5.0,1567.0,520.0,53.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/peugeot/3008/2022/griffe-1-6-thp-aut/detalhes/11570967?page=detail&sort=0,
1484.0,2022/2022,Automática,104990.0,Sedan,Flex,4665.0,10.5,Cinza,Elétrica,2700.0,25.0,1807.0,Chevrolet,1.4,Chevrolet Cruze,5.0,1307.0,440.0,52.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/chevrolet/cruze/2022/lt-1-4-turbo-aut/detalhes/11160593?page=detail&sort=0,214.0
1480.0,2020/2020,Manual,49990.0,Hatch,Flex,3820.0,,Vermelho,Suspensão,2376.0,43.235,1636.0,Fiat,1.0,Fiat Uno,5.0,1010.0,290.0,48.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/fiat/uno/2020/attractive-1-0-8v-flex-4p/detalhes/9779112?page=detail&sort=0,153.0
1453.0,2022/2023,Manual,77990.0,Hatch,Flex,4055.0,14.7,Branco,Elétrica,2538.0,15.215,1738.0,Peugeot,1.0,Peugeot 208,5.0,1047.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/peugeot/208/2023/style-1-0-flex/detalhes/10675041?page=detail&sort=0,
1474.0,2022/2023,Manual,91590.0,Sedan,Flex,4474.0,,Prata,Elétrica,2600.0,5.459,1730.0,Chevrolet,1.0,Chevrolet Onix Plus,5.0,1073.0,469.0,44.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/chevrolet/onix-plus/2023/ltz-1-0-turbo/detalhes/9779041?page=detail&sort=0,187.0
1508.0,2022/2022,Manual,72490.0,Sedan,Flex,4364.0,,Branco,Elétrica,2521.0,47.911,1726.0,Fiat,1.3,Fiat Cronos,5.0,1139.0,525.0,48.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/fiat/cronos/2022/drive-1-3/detalhes/9584989?page=detail&sort=0,183.0
1474.0,2019/2019,Manual,47990.0,Hatch,Gasolina,3930.0,12.9,Preto,Elétrica,2528.0,85.0,1705.0,Chevrolet,1.0,Chevrolet Onix,5.0,1012.0,289.0,54.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/chevrolet/onix/2019/1-0-joy-spe-4/detalhes/9518225?page=detail&sort=0,
1685.0,2022/2023,Automática,165290.0,SUV,Gasolina,4405.0,,Prata,Elétrica,2670.0,36.027,1805.0,Mitsubishi,1.5,Mitsubishi Eclipse Cross,5.0,1536.0,473.0,63.0,https://www.mobiauto.com.br/comprar/carros/pe-recife/mitsubishi/eclipse-cross/2023/hpe-1-5-turbo-aut/detalhes/9357953?page=detail&sort=0,
