altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1453.0,2021/2022,Manual,68990.0,Hatch,Flex,4055.0,11.5,Prata,Elétrica,2538.0,13.739,1738.0,Peugeot,1.6,Peugeot 208,5.0,1200.0,265.0,47.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/peugeot/208/2022/like-1-6-flex/detalhes/11329048?page=detail&sort=0,191.0
1840.0,2017/2018,Automática,159900.0,Picapes,Diesel,5330.0,,Cinza,Suspensão,3150.0,141.059,1850.0,Nissan,2.3,Nissan Frontier,5.0,1991.0,,80.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/nissan/frontier/2018/2-3-td-cd-le-4x4-aut/detalhes/6216529?page=detail&sort=0,
,2018/2019,Manual,80000.0,Picapes,Flex,,,Prata,Suspensão,,62.9,,Fiat,,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2019/1-4-cd-freedom/detalhes/10826332?page=detail&sort=0,
,2021/2021,Manual,75000.0,Picapes,Flex,,,Branco,Hidráulica,,58.054,,Fiat,,Fiat Strada,,,,,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2021/endurance-1-4-cs-flex/detalhes/9072492?page=detail&sort=0,
1480.0,2011/2011,Automática,52000.0,Sedan,Flex,4540.0,,Prata,Suspensão,2600.0,169.361,1760.0,Toyota,2.0,Toyota Corolla,5.0,1230.0,470.0,60.0,https://www.mobiauto.com.br/comprar/carros/ma-santa-ines/toyota/corolla/2011/2-0-xei-multi-drive-s-flex/detalhes/11262583?page=detail&sort=0,
1583.0,2022/2022,Automática,74290.0,SUV,Diesel,4170.0,10.5,Preto,Elétrica,2537.0,50.052,1739.0,Peugeot,1.6,Peugeot 2008,5.0,1215.0,355.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/peugeot/2008/2022/allure-pack-1-6/detalhes/9736715?page=detail&sort=0,186.0
1577.0,2022/2023,Automática,101790.0,SUV,Flex,4099.0,,Branco,Elétrica,2532.0,37.242,1774.0,Fiat,1.0,Fiat Pulse,5.0,1234.0,370.0,47.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/pulse/2023/audace-200-turbo-flex-aut/detalhes/9684360?page=detail&sort=0,189.0
1476.0,2019/2019,Automática,64701.0,Hatch,Flex,3933.0,11.7,Cinza,Suspensão,2528.0,92.949,1705.0,Chevrolet,1.4,Chevrolet Onix,5.0,1067.0,280.0,54.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/chevrolet/onix/2019/1-4-lt-spe-4-aut/detalhes/9363740?page=detail&sort=0,
1417.0,2016/2016,Manual,34000.0,Hatch,Flex,3811.0,14.3,Prata,Suspensão,2472.0,90.0,1640.0,Renault,1.0,Renault Clio,5.0,913.0,255.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/clio/2016/expression-1-0-16v-flex/detalhes/11020514?page=detail&sort=0,167.0
1464.0,2019/2020,Manual,54900.0,Hatch,Flex,3897.0,11.1,Preto,Hidráulica,2467.0,45.0,1656.0,Volkswagen,1.6,Volkswagen Gol,5.0,1031.0,285.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/volkswagen/gol/2020/1-6/detalhes/10772532?page=detail&sort=0,182.0
1580.0,2018/2018,Manual,77990.0,Picapes,Flex,4438.0,,Vermelho,Suspensão,2718.0,1.0,1664.0,Fiat,1.4,Fiat Strada,4.0,1151.0,,58.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/fiat/strada/2018/hard-working-1-4-flex-cabine-dupla/detalhes/6731649?page=detail&sort=0,163.0
1534.0,2021/2022,Automática,81690.0,SUV,Flex,4170.0,11.2,Branco,Elétrica,2600.0,29.315,1714.0,Citroën,1.6,Citroën C4 Cactus,5.0,1204.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/citroen/c4-cactus/2022/1-6-feel-aut-flex/detalhes/9674181?page=detail&sort=0,185.0
1695.0,2020/2020,Automática Sequencial,95000.0,Picapes,Flex,4693.0,8.6,Prata,Suspensão,2829.0,77.0,1821.0,Renault,2.0,Renault Duster Oroch,5.0,1346.0,,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/duster-oroch/2020/2-0-16v-dynamique-aut-flex/detalhes/10921434?page=detail&sort=0,178.0
1850.0,2013/2013,Automática,135500.0,SUV,Diesel,4705.0,,Preto,Suspensão,2750.0,195.0,1840.0,Toyota,3.0,Toyota Hilux SW4,5.0,2020.0,900.0,80.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/toyota/hilux-sw4/2013/srv-3-0-tdi-4x4-5-lugares/detalhes/11579549?page=detail&sort=0,
1680.0,2023/2023,Automática,269990.0,SUV,Flex,4705.0,,Azul,Elétrica,2765.0,0.0,1890.0,BYD,1.5,BYD Song Plus,5.0,1700.0,574.0,40.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/byd/song-plus/2023/hibrido/detalhes/7769316?page=detail&sort=0,186.0
1536.0,2020/2020,Manual,64990.0,Hatch,Flex,4060.0,14.2,Branco,Eletro,2590.0,50.0,1733.0,Renault,1.0,Renault Sandero,5.0,1011.0,320.0,50.0,https://www.mobiauto.com.br/comprar/carros/ma-sao-luis/renault/sandero/2020/zen-1-6-16v-sce-flex/detalhes/6073160?page=detail&sort=0,160.0
