altura,ano,cambio,car_price,carroceria,combustivel,comprimento,consumo,cor,direcao,entre_eixos,km_andado,largura,marca_carro,motorizacao,nome_carro,ocupantes,peso,porta_malas,tanque,url,velocidade_maxima
1628.0,2022/2022,Automática,142590.0,SUV,Flex,4404.0,10.3,Prata,Elétrica,2636.0,40.433,1819.0,Jeep,1.3,Jeep Compass,5.0,1585.0,475.0,60.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/jeep/compass/2022/longitude-1-3-t270-aut-flex/detalhes/9780502?page=detail&sort=0,204.0
1900.0,2022/2022,Manual,92690.0,Furgão & Van,Flex,4384.0,,Branco,Hidráulica,2717.0,23.056,1643.0,Fiat,1.4,Fiat Fiorino,2.0,1118.0,3100.0,58.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/fiorino/2022/1-4-endurance-flex/detalhes/11604644?page=detail&sort=0,157.0
1590.0,2022/2022,Automática,99990.0,SUV,Flex,4310.0,11.4,Azul,Elétrica,2610.0,40.98,1760.0,Nissan,1.6,Nissan Kicks,5.0,1136.0,432.0,41.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/nissan/kicks/2022/advance-1-6/detalhes/9752901?page=detail&sort=0,175.0
1534.0,2021/2022,Automática,80190.0,SUV,Flex,4170.0,11.2,Preto,Elétrica,2600.0,38.93,1714.0,Citroën,1.6,Citroën C4 Cactus,5.0,1204.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/citroen/c4-cactus/2022/1-6-feel-aut-flex/detalhes/9688035?page=detail&sort=0,185.0
1433.0,2016/2017,Automática,112000.0,Sedan,Flex,4637.0,,Cinza,Suspensão,2700.0,106.0,2076.0,Honda,1.5,Honda Civic,5.0,1326.0,519.0,56.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/honda/civic/2017/touring-1-5-turbo-cvt/detalhes/9115687?page=detail&sort=0,
1702.0,2022/2023,Automática,107990.0,SUV,Flex,4268.0,,Preto,Elétrica,2570.0,43.952,1805.0,Jeep,1.3,Jeep Renegade,5.0,1468.0,320.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/jeep/renegade/2023/longitude-t270-1-3-turbo-4x2/detalhes/11629872?page=detail&sort=0,208.0
1433.0,2013/2014,Manual,35990.0,Hatch,Flex,3827.0,,Preto,Suspensão,2373.0,150.0,1634.0,Fiat,1.0,Fiat Palio,5.0,940.0,290.0,48.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/fiat/palio/2014/fire-1-0-8v-flex-4p/detalhes/11001504?page=detail&sort=0,156.0
,2013/2013,Automática Sequencial,78990.0,Sedan,Flex,,,Prata,Suspensão,,103.0,,Mercedes-Benz,,Mercedes-Benz Classe C,,,,,https://www.mobiauto.com.br/comprar/carros/pi-teresina/mercedes-benz/classe-c/2013/c-180-cgi-sport-1-6-tb-16v-aut/detalhes/11027314?page=detail&sort=0,
1466.0,2016/2017,Manual,48000.0,Sedan,Flex,4218.0,12.9,Branco,Suspensão,2467.0,116.0,1656.0,Volkswagen,1.0,Volkswagen Voyage,5.0,947.0,480.0,55.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/volkswagen/voyage/2017/1-0-mpi-comfortline-flex/detalhes/9354286?page=detail&sort=0,173.0
1470.0,2020/2021,Manual,66470.0,Sedan,Flex,4474.0,,Branco,Suspensão,2600.0,44.037,1730.0,Chevrolet,1.0,Chevrolet Onix Plus,5.0,,469.0,44.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/onix-plus/2021/1-0-lt-flex/detalhes/9789916?page=detail&sort=0,
1429.0,2012/2012,Manual,31990.0,Hatch,Flex,3788.0,,Preto,Suspensão,2443.0,85.0,1626.0,Chevrolet,1.0,Chevrolet Celta,5.0,890.0,260.0,54.0,https://www.mobiauto.com.br/comprar/carros/pi-teresina/chevrolet/celta/2012/lt-1-0-flex/detalhes/11504641?page=detail&sort=0,156.0
